lemma,c1,c2,statement,response
油污,油,污,油污 是一種 污,
暖季,暖,季,暖季 是一種 季,
錯亂,錯,亂,錯亂 是一種 亂,
基因,基,因,基因 是一種 因,
那時,那,時,那時 是一種 時,
定律,定,律,定律 是一種 律,
入手,入,手,入手 是一種 手,
大氣,大,氣,大氣 是一種 氣,
外殼,外,殼,外殼 是一種 殼,
排出,排,出,排出 是一種 出,
有害,有,害,有害 是一種 害,
住房,住,房,住房 是一種 房,
分解,分,解,分解 是一種 解,
引入,引,入,引入 是一種 入,
深遠,深,遠,深遠 是一種 遠,
種種,種,種,種種 是一種 種,
污水,污,水,污水 是一種 水,
舒適,舒,適,舒適 是一種 適,
鳥類,鳥,類,鳥類 是一種 類,
所得,所,得,所得 是一種 得,
作用,作,用,作用 是一種 用,
傾卸,傾,卸,傾卸 是一種 卸,
減弱,減,弱,減弱 是一種 弱,
秦王,秦,王,秦王 是一種 王,
國際,國,際,國際 是一種 際,
超載,超,載,超載 是一種 載,
用量,用,量,用量 是一種 量,
雨林,雨,林,雨林 是一種 林,
淡水,淡,水,淡水 是一種 水,
演化,演,化,演化 是一種 化,
樹林,樹,林,樹林 是一種 林,
物種,物,種,物種 是一種 種,
開球,開,球,開球 是一種 球,
不錯,不,錯,不錯 是一種 錯,
愛好,愛,好,愛好 是一種 好,
比喻,比,喻,比喻 是一種 喻,
不惜,不,惜,不惜 是一種 惜,
才藝,才,藝,才藝 是一種 藝,
超出,超,出,超出 是一種 出,
盜版,盜,版,盜版 是一種 版,
電影,電,影,電影 是一種 影,
多少,多,少,多少 是一種 少,
發揮,發,揮,發揮 是一種 揮,
豐厚,豐,厚,豐厚 是一種 厚,
給以,給,以,給以 是一種 以,
故意,故,意,故意 是一種 意,
過人,過,人,過人 是一種 人,
後者,後,者,後者 是一種 者,
火鍋,火,鍋,火鍋 是一種 鍋,
尖端,尖,端,尖端 是一種 端,
獎狀,獎,狀,獎狀 是一種 狀,
姐妹,姐,妹,姐妹 是一種 妹,
糾纏,糾,纏,糾纏 是一種 纏,
四川,四,川,四川 是一種 川,
朱紅,朱,紅,朱紅 是一種 紅,
軍人,軍,人,軍人 是一種 人,
警察,警,察,警察 是一種 察,
調查,調,查,調查 是一種 查,
小我,小,我,小我 是一種 我,
心動,心,動,心動 是一種 動,
令尊,令,尊,令尊 是一種 尊,
明朗,明,朗,明朗 是一種 朗,
名聲,名,聲,名聲 是一種 聲,
年初,年,初,年初 是一種 初,
客人,客,人,客人 是一種 人,
漂亮,漂,亮,漂亮 是一種 亮,
其他,其,他,其他 是一種 他,
秋後,秋,後,秋後 是一種 後,
任何,任,何,任何 是一種 何,
少時,少,時,少時 是一種 時,
生前,生,前,生前 是一種 前,
食用,食,用,食用 是一種 用,
送交,送,交,送交 是一種 交,
所有,所,有,所有 是一種 有,
外行,外,行,外行 是一種 行,
為敵,為,敵,為敵 是一種 敵,
為最,為,最,為最 是一種 最,
吸收,吸,收,吸收 是一種 收,
新任,新,任,新任 是一種 任,
一半,一,半,一半 是一種 半,
一如,一,如,一如 是一種 如,
以降,以,降,以降 是一種 降,
以前,以,前,以前 是一種 前,
呦呦,呦,呦,呦呦 是一種 呦,
有如,有,如,有如 是一種 如,
誘人,誘,人,誘人 是一種 人,
遠路,遠,路,遠路 是一種 路,
戰前,戰,前,戰前 是一種 前,
整整,整,整,整整 是一種 整,
織女,織,女,織女 是一種 女,
週末,週,末,週末 是一種 末,
自稱,自,稱,自稱 是一種 稱,
醉心,醉,心,醉心 是一種 心,
沒有,沒,有,沒有 是一種 有,
幹嗎,幹,嗎,幹嗎 是一種 嗎,
怎麼,怎,麼,怎麼 是一種 麼,
時值,時,值,時值 是一種 值,
比照,比,照,比照 是一種 照,
低階,低,階,低階 是一種 階,
機動,機,動,機動 是一種 動,
無線,無,線,無線 是一種 線,
其次,其,次,其次 是一種 次,
恰好,恰,好,恰好 是一種 好,
究竟,究,竟,究竟 是一種 竟,
先行,先,行,先行 是一種 行,
即可,即,可,即可 是一種 可,
這般,這,般,這般 是一種 般,
那樣,那,樣,那樣 是一種 樣,
如此,如,此,如此 是一種 此,
一手,一,手,一手 是一種 手,
油品,油,品,油品 是一種 品,
品種,品,種,品種 是一種 種,
烏龜,烏,龜,烏龜 是一種 龜,
專員,專,員,專員 是一種 員,
廢物,廢,物,廢物 是一種 物,
聲浪,聲,浪,聲浪 是一種 浪,
二胡,二,胡,二胡 是一種 胡,
企圖,企,圖,企圖 是一種 圖,
孤兒,孤,兒,孤兒 是一種 兒,
信箱,信,箱,信箱 是一種 箱,
梅花,梅,花,梅花 是一種 花,
電路,電,路,電路 是一種 路,
聲光,聲,光,聲光 是一種 光,
保羅,保,羅,保羅 是一種 羅,
牛頓,牛,頓,牛頓 是一種 頓,
蘇武,蘇,武,蘇武 是一種 武,
史記,史,記,史記 是一種 記,
大溪,大,溪,大溪 是一種 溪,
蒙古,蒙,古,蒙古 是一種 古,
酒店,酒,店,酒店 是一種 店,
那些,那,些,那些 是一種 些,
大我,大,我,大我 是一種 我,
誰人,誰,人,誰人 是一種 人,
為止,為,止,為止 是一種 止,
本身,本,身,本身 是一種 身,
站穩,站,穩,站穩 是一種 穩,
跑掉,跑,掉,跑掉 是一種 掉,
隨俗,隨,俗,隨俗 是一種 俗,
揮手,揮,手,揮手 是一種 手,
溜走,溜,走,溜走 是一種 走,
估價,估,價,估價 是一種 價,
解僱,解,僱,解僱 是一種 僱,
扶正,扶,正,扶正 是一種 正,
淋濕,淋,濕,淋濕 是一種 濕,
示意,示,意,示意 是一種 意,
敬禮,敬,禮,敬禮 是一種 禮,
鬆綁,鬆,綁,鬆綁 是一種 綁,
撐腰,撐,腰,撐腰 是一種 腰,
反觀,反,觀,反觀 是一種 觀,
追趕,追,趕,追趕 是一種 趕,
寄來,寄,來,寄來 是一種 來,
捐出,捐,出,捐出 是一種 出,
出租,出,租,出租 是一種 租,
贈送,贈,送,贈送 是一種 送,
頒發,頒,發,頒發 是一種 發,
辯論,辯,論,辯論 是一種 論,
防範,防,範,防範 是一種 範,
答覆,答,覆,答覆 是一種 覆,
假設,假,設,假設 是一種 設,
示範,示,範,示範 是一種 範,
查獲,查,獲,查獲 是一種 獲,
廣播,廣,播,廣播 是一種 播,
任命,任,命,任命 是一種 命,
意圖,意,圖,意圖 是一種 圖,
付諸,付,諸,付諸 是一種 諸,
試試,試,試,試試 是一種 試,
稱呼,稱,呼,稱呼 是一種 呼,
簡稱,簡,稱,簡稱 是一種 稱,
出任,出,任,出任 是一種 任,
名為,名,為,名為 是一種 為,
自大,自,大,自大 是一種 大,
凌亂,凌,亂,凌亂 是一種 亂,
腐朽,腐,朽,腐朽 是一種 朽,
屆滿,屆,滿,屆滿 是一種 滿,
粗心,粗,心,粗心 是一種 心,
遲疑,遲,疑,遲疑 是一種 疑,
浸淫,浸,淫,浸淫 是一種 淫,
讚賞,讚,賞,讚賞 是一種 賞,
包容,包,容,包容 是一種 容,
忍耐,忍,耐,忍耐 是一種 耐,
富有,富,有,富有 是一種 有,
仰賴,仰,賴,仰賴 是一種 賴,
恭喜,恭,喜,恭喜 是一種 喜,
等候,等,候,等候 是一種 候,
不解,不,解,不解 是一種 解,
弄得,弄,得,弄得 是一種 得,
依賴,依,賴,依賴 是一種 賴,
任由,任,由,任由 是一種 由,
自願,自,願,自願 是一種 願,
無意,無,意,無意 是一種 意,
致力,致,力,致力 是一種 力,
角秒,角,秒,角秒 是一種 秒,
電氣,電,氣,電氣 是一種 氣,
胡琴,胡,琴,胡琴 是一種 琴,
角分,角,分,角分 是一種 分,
感覺,感,覺,感覺 是一種 覺,
之內,之,內,之內 是一種 內,
染色,染,色,染色 是一種 色,
無聲,無,聲,無聲 是一種 聲,
忽視,忽,視,忽視 是一種 視,
結束,結,束,結束 是一種 束,
叉子,叉,子,叉子 是一種 子,
杓子,杓,子,杓子 是一種 子,
案底,案,底,案底 是一種 底,
商量,商,量,商量 是一種 量,
告訴,告,訴,告訴 是一種 訴,
它們,它,們,它們 是一種 們,
牠們,牠,們,牠們 是一種 們,
你們,你,們,你們 是一種 們,
依舊,依,舊,依舊 是一種 舊,
西區,西,區,西區 是一種 區,
東亞,東,亞,東亞 是一種 亞,
呼聲,呼,聲,呼聲 是一種 聲,
萬萬,萬,萬,萬萬 是一種 萬,
不止,不,止,不止 是一種 止,
各造,各,造,各造 是一種 造,
生疏,生,疏,生疏 是一種 疏,
勸告,勸,告,勸告 是一種 告,
撒謊,撒,謊,撒謊 是一種 謊,
掛勾,掛,勾,掛勾 是一種 勾,
點兒,點,兒,點兒 是一種 兒,
近乎,近,乎,近乎 是一種 乎,
名家,名,家,名家 是一種 家,
心疼,心,疼,心疼 是一種 疼,
咱家,咱,家,咱家 是一種 家,
專擅,專,擅,專擅 是一種 擅,
效力,效,力,效力 是一種 力,
致謝,致,謝,致謝 是一種 謝,
何等,何,等,何等 是一種 等,
發聲,發,聲,發聲 是一種 聲,
觀音,觀,音,觀音 是一種 音,
反感,反,感,反感 是一種 感,
停電,停,電,停電 是一種 電,
名人,名,人,名人 是一種 人,
空調,空,調,空調 是一種 調,
容忍,容,忍,容忍 是一種 忍,
信託,信,託,信託 是一種 託,
祖國,祖,國,祖國 是一種 國,
研判,研,判,研判 是一種 判,
孝順,孝,順,孝順 是一種 順,
詢問,詢,問,詢問 是一種 問,
懂得,懂,得,懂得 是一種 得,
不再,不,再,不再 是一種 再,
怎肯,怎,肯,怎肯 是一種 肯,
我等,我,等,我等 是一種 等,
傾心,傾,心,傾心 是一種 心,
兩造,兩,造,兩造 是一種 造,
半點,半,點,半點 是一種 點,
呈獻,呈,獻,呈獻 是一種 獻,
整容,整,容,整容 是一種 容,
意指,意,指,意指 是一種 指,
過癮,過,癮,過癮 是一種 癮,
花費,花,費,花費 是一種 費,
甘心,甘,心,甘心 是一種 心,
小鎮,小,鎮,小鎮 是一種 鎮,
相差,相,差,相差 是一種 差,
提及,提,及,提及 是一種 及,
好多,好,多,好多 是一種 多,
感謝,感,謝,感謝 是一種 謝,
自己,自,己,自己 是一種 己,
賤妾,賤,妾,賤妾 是一種 妾,
附身,附,身,附身 是一種 身,
謝罪,謝,罪,謝罪 是一種 罪,
並用,並,用,並用 是一種 用,
播種,播,種,播種 是一種 種,
禮拜,禮,拜,禮拜 是一種 拜,
和氣,和,氣,和氣 是一種 氣,
友好,友,好,友好 是一種 好,
定為,定,為,定為 是一種 為,
宮殿,宮,殿,宮殿 是一種 殿,
忍心,忍,心,忍心 是一種 心,
買進,買,進,買進 是一種 進,
提名,提,名,提名 是一種 名,
終究,終,究,終究 是一種 究,
抱持,抱,持,抱持 是一種 持,
難怪,難,怪,難怪 是一種 怪,
保證,保,證,保證 是一種 證,
質疑,質,疑,質疑 是一種 疑,
奇怪,奇,怪,奇怪 是一種 怪,
不斷,不,斷,不斷 是一種 斷,
完全,完,全,完全 是一種 全,
卿家,卿,家,卿家 是一種 家,
我人,我,人,我人 是一種 人,
幾近,幾,近,幾近 是一種 近,
問好,問,好,問好 是一種 好,
授予,授,予,授予 是一種 予,
升任,升,任,升任 是一種 任,
相親,相,親,相親 是一種 親,
好些,好,些,好些 是一種 些,
附贈,附,贈,附贈 是一種 贈,
猛烈,猛,烈,猛烈 是一種 烈,
斷層,斷,層,斷層 是一種 層,
明瞭,明,瞭,明瞭 是一種 瞭,
得罪,得,罪,得罪 是一種 罪,
趨向,趨,向,趨向 是一種 向,
難忘,難,忘,難忘 是一種 忘,
罹患,罹,患,罹患 是一種 患,
慶祝,慶,祝,慶祝 是一種 祝,
很多,很,多,很多 是一種 多,
為傲,為,傲,為傲 是一種 傲,
致敬,致,敬,致敬 是一種 敬,
聽命,聽,命,聽命 是一種 命,
求解,求,解,求解 是一種 解,
讓出,讓,出,讓出 是一種 出,
較量,較,量,較量 是一種 量,
毋寧,毋,寧,毋寧 是一種 寧,
作夢,作,夢,作夢 是一種 夢,
分期,分,期,分期 是一種 期,
定型,定,型,定型 是一種 型,
潮濕,潮,濕,潮濕 是一種 濕,
水晶,水,晶,水晶 是一種 晶,
助力,助,力,助力 是一種 力,
入選,入,選,入選 是一種 選,
糾正,糾,正,糾正 是一種 正,
不停,不,停,不停 是一種 停,
不容,不,容,不容 是一種 容,
持有,持,有,持有 是一種 有,
實驗,實,驗,實驗 是一種 驗,
預定,預,定,預定 是一種 定,
家兄,家,兄,家兄 是一種 兄,
匹敵,匹,敵,匹敵 是一種 敵,
引得,引,得,引得 是一種 得,
寄予,寄,予,寄予 是一種 予,
借來,借,來,借來 是一種 來,
過多,過,多,過多 是一種 多,
少許,少,許,少許 是一種 許,
貶值,貶,值,貶值 是一種 值,
雷同,雷,同,雷同 是一種 同,
政見,政,見,政見 是一種 見,
些許,些,許,些許 是一種 許,
跑去,跑,去,跑去 是一種 去,
大半,大,半,大半 是一種 半,
深思,深,思,深思 是一種 思,
載入,載,入,載入 是一種 入,
抱怨,抱,怨,抱怨 是一種 怨,
形容,形,容,形容 是一種 容,
持續,持,續,持續 是一種 續,
家祖,家,祖,家祖 是一種 祖,
家姊,家,姊,家姊 是一種 姊,
敦聘,敦,聘,敦聘 是一種 聘,
辭行,辭,行,辭行 是一種 行,
主治,主,治,主治 是一種 治,
來信,來,信,來信 是一種 信,
武松,武,松,武松 是一種 松,
過敏,過,敏,過敏 是一種 敏,
開明,開,明,開明 是一種 明,
排行,排,行,排行 是一種 行,
奪得,奪,得,奪得 是一種 得,
演藝,演,藝,演藝 是一種 藝,
柏林,柏,林,柏林 是一種 林,
沙國,沙,國,沙國 是一種 國,
驗證,驗,證,驗證 是一種 證,
不法,不,法,不法 是一種 法,
給付,給,付,給付 是一種 付,
設法,設,法,設法 是一種 法,
估計,估,計,估計 是一種 計,
他們,他,們,他們 是一種 們,
分析,分,析,分析 是一種 析,
牛頓,牛,頓,牛頓 是一種 頓,
作主,作,主,作主 是一種 主,
大家,大,家,大家 是一種 家,
煞到,煞,到,煞到 是一種 到,
推辭,推,辭,推辭 是一種 辭,
和約,和,約,和約 是一種 約,
機組,機,組,機組 是一種 組,
故事,故,事,故事 是一種 事,
預計,預,計,預計 是一種 計,
缺少,缺,少,缺少 是一種 少,
判斷,判,斷,判斷 是一種 斷,
凌晨,凌,晨,凌晨 是一種 晨,
割禮,割,禮,割禮 是一種 禮,
感染,感,染,感染 是一種 染,
搖擺,搖,擺,搖擺 是一種 擺,
意識,意,識,意識 是一種 識,
房子,房,子,房子 是一種 子,
不忠,不,忠,不忠 是一種 忠,
脖子,脖,子,脖子 是一種 子,
羽毛,羽,毛,羽毛 是一種 毛,
子女,子,女,子女 是一種 女,
那裏,那,裏,那裏 是一種 裏,
名字,名,字,名字 是一種 字,
父親,父,親,父親 是一種 親,
開動,開,動,開動 是一種 動,
觀音,觀,音,觀音 是一種 音,
膝蓋,膝,蓋,膝蓋 是一種 蓋,
水水,水,水,水水 是一種 水,
酒令,酒,令,酒令 是一種 令,
木蘭,木,蘭,木蘭 是一種 蘭,
肚子,肚,子,肚子 是一種 子,
科技,科,技,科技 是一種 技,
夏娃,夏,娃,夏娃 是一種 娃,
答應,答,應,答應 是一種 應,
軍事,軍,事,軍事 是一種 事,
謝謝,謝,謝,謝謝 是一種 謝,
結構,結,構,結構 是一種 構,
原因,原,因,原因 是一種 因,
生命,生,命,生命 是一種 命,
企業,企,業,企業 是一種 業,
爭光,爭,光,爭光 是一種 光,
結巴,結,巴,結巴 是一種 巴,
電動,電,動,電動 是一種 動,
不到,不,到,不到 是一種 到,
傑出,傑,出,傑出 是一種 出,
階級,階,級,階級 是一種 級,
人口,人,口,人口 是一種 口,
編組,編,組,編組 是一種 組,
建檔,建,檔,建檔 是一種 檔,
伸手,伸,手,伸手 是一種 手,
大專,大,專,大專 是一種 專,
身邊,身,邊,身邊 是一種 邊,
層面,層,面,層面 是一種 面,
份子,份,子,份子 是一種 子,
車子,車,子,車子 是一種 子,
女生,女,生,女生 是一種 生,
大衛,大,衛,大衛 是一種 衛,
商品,商,品,商品 是一種 品,
工人,工,人,工人 是一種 人,
院士,院,士,院士 是一種 士,
食物,食,物,食物 是一種 物,
調整,調,整,調整 是一種 整,
時期,時,期,時期 是一種 期,
充滿,充,滿,充滿 是一種 滿,
資產,資,產,資產 是一種 產,
基金,基,金,基金 是一種 金,
個性,個,性,個性 是一種 性,
前面,前,面,前面 是一種 面,
汽車,汽,車,汽車 是一種 車,
答案,答,案,答案 是一種 案,
人力,人,力,人力 是一種 力,
博士,博,士,博士 是一種 士,
小時,小,時,小時 是一種 時,
爸爸,爸,爸,爸爸 是一種 爸,
能力,能,力,能力 是一種 力,
人員,人,員,人員 是一種 員,
求援,求,援,求援 是一種 援,
頒獎,頒,獎,頒獎 是一種 獎,
延期,延,期,延期 是一種 期,
相較,相,較,相較 是一種 較,
戶外,戶,外,戶外 是一種 外,
分級,分,級,分級 是一種 級,
溫暖,溫,暖,溫暖 是一種 暖,
睡覺,睡,覺,睡覺 是一種 覺,
好奇,好,奇,好奇 是一種 奇,
優點,優,點,優點 是一種 點,
矛盾,矛,盾,矛盾 是一種 盾,
航空,航,空,航空 是一種 空,
編目,編,目,編目 是一種 目,
領先,領,先,領先 是一種 先,
眾多,眾,多,眾多 是一種 多,
哲學,哲,學,哲學 是一種 學,
解釋,解,釋,解釋 是一種 釋,
相同,相,同,相同 是一種 同,
自由,自,由,自由 是一種 由,
擔任,擔,任,擔任 是一種 任,
主義,主,義,主義 是一種 義,
獲得,獲,得,獲得 是一種 得,
發生,發,生,發生 是一種 生,
大學,大,學,大學 是一種 學,
美容,美,容,美容 是一種 容,
寫信,寫,信,寫信 是一種 信,
分組,分,組,分組 是一種 組,
車站,車,站,車站 是一種 站,
犯罪,犯,罪,犯罪 是一種 罪,
升級,升,級,升級 是一種 級,
新光,新,光,新光 是一種 光,
手法,手,法,手法 是一種 法,
累積,累,積,累積 是一種 積,
大人,大,人,大人 是一種 人,
辛苦,辛,苦,辛苦 是一種 苦,
可愛,可,愛,可愛 是一種 愛,
家人,家,人,家人 是一種 人,
妥協,妥,協,妥協 是一種 協,
維護,維,護,維護 是一種 護,
畢業,畢,業,畢業 是一種 業,
豐富,豐,富,豐富 是一種 富,
特色,特,色,特色 是一種 色,
效果,效,果,效果 是一種 果,
目標,目,標,目標 是一種 標,
東西,東,西,東西 是一種 西,
電腦,電,腦,電腦 是一種 腦,
拜年,拜,年,拜年 是一種 年,
移動,移,動,移動 是一種 動,
彩色,彩,色,彩色 是一種 色,
師大,師,大,師大 是一種 大,
天氣,天,氣,天氣 是一種 氣,
客人,客,人,客人 是一種 人,
供應,供,應,供應 是一種 應,
主人,主,人,主人 是一種 人,
不良,不,良,不良 是一種 良,
動詞,動,詞,動詞 是一種 詞,
檔案,檔,案,檔案 是一種 案,
觀點,觀,點,觀點 是一種 點,
瞭解,瞭,解,瞭解 是一種 解,
工業,工,業,工業 是一種 業,
專家,專,家,專家 是一種 家,
實際,實,際,實際 是一種 際,
時代,時,代,時代 是一種 代,
離別,離,別,離別 是一種 別,
減刑,減,刑,減刑 是一種 刑,
急救,急,救,急救 是一種 救,
過年,過,年,過年 是一種 年,
旅館,旅,館,旅館 是一種 館,
不行,不,行,不行 是一種 行,
夫妻,夫,妻,夫妻 是一種 妻,
球員,球,員,球員 是一種 員,
收入,收,入,收入 是一種 入,
生氣,生,氣,生氣 是一種 氣,
特質,特,質,特質 是一種 質,
作者,作,者,作者 是一種 者,
會員,會,員,會員 是一種 員,
最佳,最,佳,最佳 是一種 佳,
動作,動,作,動作 是一種 作,
銀行,銀,行,銀行 是一種 行,
工作,工,作,工作 是一種 作,
意義,意,義,意義 是一種 義,
品質,品,質,品質 是一種 質,
提出,提,出,提出 是一種 出,
再見,再,見,再見 是一種 見,
開口,開,口,開口 是一種 口,
資深,資,深,資深 是一種 深,
爺爺,爺,爺,爺爺 是一種 爺,
感動,感,動,感動 是一種 動,
癌症,癌,症,癌症 是一種 症,
做法,做,法,做法 是一種 法,
休息,休,息,休息 是一種 息,
物質,物,質,物質 是一種 質,
進口,進,口,進口 是一種 口,
稱為,稱,為,稱為 是一種 為,
生物,生,物,生物 是一種 物,
