lemma,c1,c2,statement,response
油船,油,船,油船 是一種 船,
微粒,微,粒,微粒 是一種 粒,
播遷,播,遷,播遷 是一種 遷,
能量,能,量,能量 是一種 量,
指標,指,標,指標 是一種 標,
典型,典,型,典型 是一種 型,
定論,定,論,定論 是一種 論,
大氣,大,氣,大氣 是一種 氣,
可行,可,行,可行 是一種 行,
排入,排,入,排入 是一種 入,
有毒,有,毒,有毒 是一種 毒,
位處,位,處,位處 是一種 處,
分隔,分,隔,分隔 是一種 隔,
去除,去,除,去除 是一種 除,
推進,推,進,推進 是一種 進,
減至,減,至,減至 是一種 至,
移入,移,入,移入 是一種 入,
發掘,發,掘,發掘 是一種 掘,
龍蝦,龍,蝦,龍蝦 是一種 蝦,
所及,所,及,所及 是一種 及,
妥善,妥,善,妥善 是一種 善,
發佈,發,佈,發佈 是一種 佈,
減低,減,低,減低 是一種 低,
溫水,溫,水,溫水 是一種 水,
作法,作,法,作法 是一種 法,
越界,越,界,越界 是一種 界,
永續,永,續,永續 是一種 續,
凍原,凍,原,凍原 是一種 原,
崩解,崩,解,崩解 是一種 解,
暖化,暖,化,暖化 是一種 化,
旱林,旱,林,旱林 是一種 林,
東西,東,西,東西 是一種 西,
負面,負,面,負面 是一種 面,
作為,作,為,作為 是一種 為,
為妙,為,妙,為妙 是一種 妙,
報紙,報,紙,報紙 是一種 紙,
不等,不,等,不等 是一種 等,
不予,不,予,不予 是一種 予,
纏身,纏,身,纏身 是一種 身,
大早,大,早,大早 是一種 早,
弟兄,弟,兄,弟兄 是一種 兄,
多半,多,半,多半 是一種 半,
而外,而,外,而外 是一種 外,
分鐘,分,鐘,分鐘 是一種 鐘,
歌手,歌,手,歌手 是一種 手,
更多,更,多,更多 是一種 多,
過後,過,後,過後 是一種 後,
好幾,好,幾,好幾 是一種 幾,
婚前,婚,前,婚前 是一種 前,
季末,季,末,季末 是一種 末,
獎品,獎,品,獎品 是一種 品,
解雇,解,雇,解雇 是一種 雇,
精品,精,品,精品 是一種 品,
攤子,攤,子,攤子 是一種 子,
兔子,兔,子,兔子 是一種 子,
軍隊,軍,隊,軍隊 是一種 隊,
臉色,臉,色,臉色 是一種 色,
警官,警,官,警官 是一種 官,
跑船,跑,船,跑船 是一種 船,
順手,順,手,順手 是一種 手,
靈魂,靈,魂,靈魂 是一種 魂,
迷信,迷,信,迷信 是一種 信,
名氣,名,氣,名氣 是一種 氣,
內行,內,行,內行 是一種 行,
拍賣,拍,賣,拍賣 是一種 賣,
皮包,皮,包,皮包 是一種 包,
其它,其,它,其它 是一種 它,
勤前,勤,前,勤前 是一種 前,
全身,全,身,全身 是一種 身,
入迷,入,迷,入迷 是一種 迷,
身後,身,後,身後 是一種 後,
實況,實,況,實況 是一種 況,
似的,似,的,似的 是一種 的,
鎖定,鎖,定,鎖定 是一種 定,
同志,同,志,同志 是一種 志,
萬一,萬,一,萬一 是一種 一,
為主,為,主,為主 是一種 主,
午前,午,前,午前 是一種 前,
喜好,喜,好,喜好 是一種 好,
也似,也,似,也似 是一種 似,
依據,依,據,依據 是一種 據,
以後,以,後,以後 是一種 後,
以內,以,內,以內 是一種 內,
意外,意,外,意外 是一種 外,
友人,友,人,友人 是一種 人,
有意,有,意,有意 是一種 意,
遇見,遇,見,遇見 是一種 見,
佔領,佔,領,佔領 是一種 領,
這裡,這,裡,這裡 是一種 裡,
之交,之,交,之交 是一種 交,
之秋,之,秋,之秋 是一種 秋,
專門,專,門,專門 是一種 門,
自我,自,我,自我 是一種 我,
處處,處,處,處處 是一種 處,
有否,有,否,有否 是一種 否,
有無,有,無,有無 是一種 無,
臨近,臨,近,臨近 是一種 近,
憑藉,憑,藉,憑藉 是一種 藉,
先決,先,決,先決 是一種 決,
隔音,隔,音,隔音 是一種 音,
險遭,險,遭,險遭 是一種 遭,
便是,便,是,便是 是一種 是,
剛好,剛,好,剛好 是一種 好,
最多,最,多,最多 是一種 多,
不可,不,可,不可 是一種 可,
很少,很,少,很少 是一種 少,
過份,過,份,過份 是一種 份,
不盡,不,盡,不盡 是一種 盡,
不已,不,已,不已 是一種 已,
不便,不,便,不便 是一種 便,
生計,生,計,生計 是一種 計,
勇士,勇,士,勇士 是一種 士,
約會,約,會,約會 是一種 會,
國界,國,界,國界 是一種 界,
嘴唇,嘴,唇,嘴唇 是一種 唇,
機組,機,組,機組 是一種 組,
續集,續,集,續集 是一種 集,
用處,用,處,用處 是一種 處,
刑事,刑,事,刑事 是一種 事,
花兒,花,兒,花兒 是一種 兒,
國寶,國,寶,國寶 是一種 寶,
溪水,溪,水,溪水 是一種 水,
鋼筋,鋼,筋,鋼筋 是一種 筋,
林肯,林,肯,林肯 是一種 肯,
禮品,禮,品,禮品 是一種 品,
劉備,劉,備,劉備 是一種 備,
巴哈,巴,哈,巴哈 是一種 哈,
東區,東,區,東區 是一種 區,
淡大,淡,大,淡大 是一種 大,
外科,外,科,外科 是一種 科,
不少,不,少,不少 是一種 少,
開始,開,始,開始 是一種 始,
何者,何,者,何者 是一種 者,
筆者,筆,者,筆者 是一種 者,
彼此,彼,此,彼此 是一種 此,
吾人,吾,人,吾人 是一種 人,
湧出,湧,出,湧出 是一種 出,
擇期,擇,期,擇期 是一種 期,
並行,並,行,並行 是一種 行,
搖晃,搖,晃,搖晃 是一種 晃,
露面,露,面,露面 是一種 面,
減半,減,半,減半 是一種 半,
行禮,行,禮,行禮 是一種 禮,
送行,送,行,送行 是一種 行,
施虐,施,虐,施虐 是一種 虐,
隆乳,隆,乳,隆乳 是一種 乳,
濃縮,濃,縮,濃縮 是一種 縮,
訂房,訂,房,訂房 是一種 房,
分擔,分,擔,分擔 是一種 擔,
乘坐,乘,坐,乘坐 是一種 坐,
補貼,補,貼,補貼 是一種 貼,
寫給,寫,給,寫給 是一種 給,
寄給,寄,給,寄給 是一種 給,
送來,送,來,送來 是一種 來,
留給,留,給,留給 是一種 給,
分辨,分,辨,分辨 是一種 辨,
申訴,申,訴,申訴 是一種 訴,
賣給,賣,給,賣給 是一種 給,
研討,研,討,研討 是一種 討,
核准,核,准,核准 是一種 准,
證實,證,實,證實 是一種 實,
協商,協,商,協商 是一種 商,
預估,預,估,預估 是一種 估,
指引,指,引,指引 是一種 引,
代為,代,為,代為 是一種 為,
決心,決,心,決心 是一種 心,
試圖,試,圖,試圖 是一種 圖,
接任,接,任,接任 是一種 任,
俗稱,俗,稱,俗稱 是一種 稱,
竟是,竟,是,竟是 是一種 是,
可疑,可,疑,可疑 是一種 疑,
相等,相,等,相等 是一種 等,
新生,新,生,新生 是一種 生,
交替,交,替,交替 是一種 替,
堅硬,堅,硬,堅硬 是一種 硬,
親生,親,生,親生 是一種 生,
動心,動,心,動心 是一種 心,
歷時,歷,時,歷時 是一種 時,
累計,累,計,累計 是一種 計,
降到,降,到,降到 是一種 到,
源自,源,自,源自 是一種 自,
反射,反,射,反射 是一種 射,
不符,不,符,不符 是一種 符,
自覺,自,覺,自覺 是一種 覺,
留意,留,意,留意 是一種 意,
歡喜,歡,喜,歡喜 是一種 喜,
恐懼,恐,懼,恐懼 是一種 懼,
招致,招,致,招致 是一種 致,
懶得,懶,得,懶得 是一種 得,
提早,提,早,提早 是一種 早,
有心,有,心,有心 是一種 心,
用來,用,來,用來 是一種 來,
用途,用,途,用途 是一種 途,
口操,口,操,口操 是一種 操,
梅子,梅,子,梅子 是一種 子,
分角,分,角,分角 是一種 角,
聲音,聲,音,聲音 是一種 音,
禮物,禮,物,禮物 是一種 物,
